-.0135623,.59686,-.379364
-.00816133,.602476,-.378438
-.0148039,.590327,-.383195
-.0118975,.58294,-.39005
-.00270913,.575463,-.396369
-.00786722,.578022,-.394483
-.00411826,.605503,-.378059
-.00142673,.605942,-.378227
-.005967,.604354,-.378213
-.00012409,.575481,-.39648
-.00008273,.605942,-.378227
-.0668653,.551598,-.368231
-.0621923,.576118,-.350518
-.0501853,.577839,-.361346
-.0598653,.612277,-.238516
-.0619123,.606348,-.215136
-.0454123,.617687,-.223452
-.0439023,.620776,-.245355
-.0269623,.625877,-.250322
-.0278933,.624504,-.230323
-.00935426,.626913,-.235423
-.00904426,.627621,-.253943
-.00852626,.626575,-.27296
-.00780326,.623624,-.29266
-.0232383,.621934,-.291361
-.0254113,.625058,-.270519
-.0420893,.620785,-.266978
-.0399703,.61752,-.288702
-.0580003,.610383,-.284682
-.0585603,.613733,-.261803
-.0108793,.606716,-.36289
-.00761226,.605479,-.370402
-.0132503,.605763,-.36312
-.0230103,.585867,-.375249
-.0221823,.591106,-.371772
-.0173223,.590616,-.376869
-.0162793,.583269,-.382229
-.024304,.572296,-.382471
-.0162479,.569766,-.389061
-.0197077,.546772,-.397461
-.0268725,.547826,-.394384
-.0459323,.594614,-.347114
-.0594163,.592662,-.332834
-.0585383,.601089,-.315205
-.0420083,.602229,-.336218
-.0556883,.495733,-.396053
-.0493672,.524286,-.395379
-.0401712,.522735,-.398683
-.0476243,.494816,-.399201
-.00198701,.562042,-.395549
-.00203925,.541065,-.397402
-.00520922,.540991,-.398917
-.00662906,.52147,-.398282
-.00235284,.521988,-.395731
-.00284366,.497365,-.391481
-.00815563,.496011,-.395599
-.0453012,.465605,-.39578
-.0357078,.465435,-.394096
-.0415006,.42499,-.384242
-.050159,.426559,-.386672
-.0105963,.423867,-.366924
-.00937674,.465264,-.384711
-.00317526,.4667,-.37921
-.00358926,.426597,-.359722
-.00897634,.385965,-.255131
-.014226,.373187,-.278149
-.00447408,.380443,-.281401
-.0109374,.371651,-.307226
-.00330526,.379407,-.310486
-.00316426,.376771,-.299807
-.0123655,.369482,-.296133
-.00504526,.395007,-.344015
-.0124708,.380757,-.341273
-.0124673,.392291,-.351944
-.00886772,.603217,-.138243
-.0264791,.599291,-.136767
-.0435878,.591037,-.132853
-.060193,.578477,-.127139
-.0761824,.562089,-.124708
-.091555,.541839,-.125931
-.112293,.489531,-.128611
-.114525,.470278,-.128379
-.112289,.448353,-.127521
-.105586,.423915,-.12695
-.064342,.375383,-.127626
-.0466856,.36707,-.128878
-.0284187,.361422,-.129807
-.011106,.358747,-.130354
-.0430552,.391547,-.191774
-.043895,.379135,-.161463
-.0615522,.386211,-.162112
-.0633437,.397875,-.192898
-.0856119,.409675,-.161249
-.0943503,.412829,-.161768
-.0942286,.422027,-.194079
-.0857038,.417509,-.19343
-.107805,.482032,-.18569
-.106282,.480871,-.178662
-.105849,.499814,-.174432
-.107007,.501145,-.181188
-.0871233,.560985,-.164862
-.0886447,.550791,-.147134
-.0745805,.56925,-.144969
-.0735093,.578051,-.164026
-.0587963,.591776,-.16608
-.0593289,.584659,-.146855
-.0428908,.597023,-.152129
-.0425393,.603368,-.17084
-.0258293,.611031,-.175357
